AA799301_PROBE1	AA799301	Lgtn protein (DBSS)
BE108756_PROBE1	BE108756	ESTs
BE108776_PROBE1	BE108776	S12207 hypothetical protein (B2 element) (Mm.) (DBSS_moderate)
BE108780_PROBE1	BE108780	ESTs
BE108809_PROBE1	BE108809	B39066 proline-rich protein 15 (Rn.) (DBSS_weak)
BE108810_PROBE1	BE108810	Notch gene homolog 1, (Drosophila)
BE108830_PROBE1	BE108830	spermine oxidase (DBSS)
BE108832_PROBE1	BE108832	putative KDEL receptor (DBSS)
BE108835_PROBE1	BE108835	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (O-GlcNAc transferase p110 subunit) (DBSS)
BE108837_PROBE1	BE108837	CENTROMERIC PROTEIN E (CENP-E PROTEIN) (DBSS)
BE108840_PROBE1	BE108840	ESTs
BE108849_PROBE1	BE108849	ESTs
BE108850_PROBE1	BE108850	density-regulated protein (DBSS)
BE108853_PROBE1	BE108853	Poly(A) polymerase alpha (Hs.) (DBSS_moderate)
BE108857_PROBE1	BE108857	ESTs
BE108860_PROBE1	BE108860	NS1-associated protein 1 (Hs.) (DBSS)
BE108865_PROBE1	BE108865	oxidation resistance 1
BE108868_PROBE1	BE108868	ESTs
BE108869_PROBE1	BE108869	moesin
BE108873_PROBE1	BE108873	hypothetical protein C630028F04 (DBSS)
BE108876_PROBE1	BE108876	ESTs
BE108877_PROBE1	BE108877	KIAA0853 protein (DBSS)
BE108882_PROBE1	BE108882	homolog of mouse quaking QKI (KH domain RNA binding protein)
BE108884_PROBE1	BE108884	RNA helicase-related protein (Hs.) (DBSS)
BE108886_PROBE1	BE108886	KIAA1585 protein (DBSS)
BE108896_PROBE1	BE108896	sialyltransferase 8 (alpha-2, 8-sialytransferase) B (Mm.) (DBSS)
BE108899_PROBE1	BE108899	RNA binding motif, single stranded interacting protein 3; RNA-binding protein (Hs.) (DBSS)
BE108905_PROBE1	BE108905	nucleosome assembly protein 1-like 1
BE108919_PROBE1	BE108919	ring finger protein 38 (Hs.) (DBSS)
BE108922_PROBE1	BE108922	hypothetical protein MGC28965 (DBSS)
BE108923_PROBE1	BE108923	Brd3 protein (DBSS)
BE108949_PROBE1	BE108949	RIKEN cDNA 2010200I23 (DBSS)
BE108967_PROBE1	BE108967	hypothetical protein FLJ21816 (DBSS)
BE108968_PROBE1	BE108968	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
BE108973_PROBE1	BE108973	laminin alpha-1 chain precursor - mouse (DBSS)
BE108976_PROBE1	BE108976	ESTs
BE108985_PROBE1	BE108985	ESTs
BE109016_PROBE1	BE109016	SRY (sex determining region Y)-box 11 (Hs.) (DBSS)
BE109018_PROBE1	BE109018	contactin 1
BE109039_PROBE1	BE109039	serine/threonine kinase 6 (Mm.) (DBSS_moderate)
BE109055_PROBE1	BE109055	ESTs
BE109057_PROBE1	BE109057	Doublecortin (Non-specific probe)
BE109059_PROBE1	BE109059	ESTs
BE109061_PROBE1	BE109061	centromere autoantigen B (DBSS)
BE109075_PROBE1	BE109075	RIKEN cDNA 1110013H04 (DBSS)
BE109095_PROBE1	BE109095	ESTs
BE109102_PROBE1	BE109102	general transcription factor IIIA (Hs.) (DBSS)
BE109108_PROBE1	BE109108	transcription factor MAZR (DBSS)
BE109109_PROBE1	BE109109	KIAA0013 gene product (Hs.) (DBSS_weak)
BE109116_PROBE1	BE109116	DnaJ homolog subfamily C member 8 (Splicing protein spf31) (HSPC315) (DBSS)
BE109118_PROBE1	BE109118	mKIAA1219 protein (DBSS)
BE109120_PROBE1	BE109120	zinc finger DAZ interacting protein 1 (DBSS)
BE109130_PROBE1	BE109130	binder of Arl Two (Hs.) (DBSS_strong)
BE109138_PROBE1	BE109138	zinc finger protein 294 (DBSS)
BE109143_PROBE1	BE109143	Ac1054
BE109152_PROBE1	BE109152	Ik protein (DBSS)
BE109161_PROBE1	BE109161	DEK oncogene (DNA binding)
BE109164_PROBE1	BE109164	Rho-associated, coiled-coil containing protein kinase 1 (Hs.) (DBSS)
BE109179_PROBE1	BE109179	ESTs
BE109201_PROBE1	BE109201	LOC363459
BE109208_PROBE1	BE109208	ESTs
BE109221_PROBE1	BE109221	fatty acid elongase 2
BE109232_PROBE1	BE109232	hypothetical LOC287456
BE109242_PROBE1	BE109242	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog (Hs.) (DBSS)
BE109246_PROBE1	BE109246	Bcl-2-associated transcription factor (DBSS)
BE109266_PROBE1	BE109266	v-ets erythroblastosis virus E26 oncogene like (avian)
BE109271_PROBE1	BE109271	zinc finger DAZ interacting protein 3 (DBSS)
BE109277_PROBE1	BE109277	cytokine induced protein 29 kDa (Hs.) (DBSS_strong)
BE109381_PROBE1	BE109381	hexose-6-phosphate dehydrogenase precursor; GDH/6PGL endoplasmic bifunctional protein (DBSS)
BE109510_PROBE1	BE109510	hypothetical protein PRO1580 (DBSS)
BE109512_PROBE1	BE109512	AP47 protein - mouse (DBSS)
BE109513_PROBE1	BE109513	ESTs
BE109520_PROBE1	BE109520	Ac1133 (DBSS)
BE109521_PROBE1	BE109521	D11Bwg0280e protein (DBSS)
BE109529_PROBE1	BE109529	Calsequestrin, skeletal muscle isoform precursor (Calsequestrin 1) (Mm.) (DBSS_strong)
BE109531_PROBE1	BE109531	Interferon-induced 35 kDa protein homolog (IFP 35) (DBSS)
BE109532_PROBE1	BE109532	Tetratricopeptide repeat protein 1 (TPR repeat protein 1) (Hs.) (DBSS_strong)
BE109561_PROBE1	BE109561	1100001D10Rik protein (DBSS)
BE109569_PROBE1	BE109569	ESTs
BE109573_PROBE1	BE109573	ESTs
BE109575_PROBE1	BE109575	hypothetical protein 1 (Hs.) (DBSS_strong)
BE109586_PROBE1	BE109586	CG4071-PA (DBSS)
BE109596_PROBE1	BE109596	Trithorax homolog 2 (Mixed lineage leukemia gene homolog 2 protein) (DBSS)
BE109599_PROBE1	BE109599	thyroid hormone receptor-associated protein, 150 kDa subunit (DBSS)
BE109600_PROBE1	BE109600	exonuclease NEF-sp (Hs.) (DBSS_weak)
BE109603_PROBE1	BE109603	beta-transducin repeat containing
BE109604_PROBE1	BE109604	ESTs
BE109614_PROBE1	BE109614	hypothetical protein D12Ertd771e (DBSS)
BE109616_PROBE1	BE109616	ESTs
BE109617_PROBE1	BE109617	RAB, member of RAS oncogene family-like 4 (Hs.) (DBSS_moderate)
BE109628_PROBE1	BE109628	ESTs
BE109633_PROBE1	BE109633	cellular apoptosis susceptibility protein (DBSS)
BE109634_PROBE1	BE109634	KIAA0913 protein (DBSS)
BE109637_PROBE1	BE109637	fructosamine 3 kinase (Mm.) (DBSS_strong)
BE109638_PROBE1	BE109638	isocitrate dehydrogenase 3 (NAD+) alpha
BE109642_PROBE1	BE109642	ESTs
BE109644_PROBE1	BE109644	ESTs
BE109656_PROBE1	BE109656	T-cell lymphoma invasion and metastasis 1
BE109661_PROBE1	BE109661	Capg protein (DBSS)
BE109664_PROBE1	BE109664	casein kinase II, alpha 1 polypeptide
BE109665_PROBE1	BE109665	TU12B1-TY protein (Hs.) (DBSS)
BE109667_PROBE1	BE109667	hypothetical LOC287935
BE109671_PROBE1	BE109671	solute carrier family 3, member 1
BE109672_PROBE1	BE109672	glucose regulated protein, 58 kDa
BE109678_PROBE1	BE109678	serine/threonine kinase 38 like (Mm.) (DBSS)
BE109681_PROBE1	BE109681	basophil leukemia expressed sequence Bles05
BE109691_PROBE1	BE109691	immunoglobulin superfamily, member 7
BE109704_PROBE1	BE109704	cysteine string protein
BE109709_PROBE1	BE109709	mRNA decapping enzyme
BE109711_PROBE1	BE109711	lymphocyte cytosolic protein 1 (DBSS)
BE109712_PROBE1	BE109712	LOC363097
BE109730_PROBE1	BE109730	ESTs
BE109744_PROBE1	BE109744	transcription repressor p66 (DBSS)
BE109746_PROBE1	BE109746	ESTs
BE109747_PROBE1	BE109747	RIKEN cDNA 1700088E04; DNA segment, Human EST J0827E04; Mus EST J0827E04; DNA segment, EST J0827E04 (DBSS)
BE109756_PROBE1	BE109756	RIKEN cDNA 6030419C18 gene (Mm.) (DBSS_strong)
BE109861_PROBE1	BE109861	VPS10 domain receptor protein SORCS 3 (Hs.) (DBSS)
BE109900_PROBE1	BE109900	midline 2 (Mm.) (DBSS)
BE109901_PROBE1	BE109901	ESTs
BE109919_PROBE1	BE109919	HLA class II histocompatibility antigen, DR alpha chain precursor (Hs.) (DBSS)
BE109950_PROBE1	BE109950	ankycorbin; NORPEG-like protein (Mm.) (DBSS_weak)
BE109952_PROBE1	BE109952	ESTs
BE110128_PROBE1	BE110128	apoA-I binding protein (DBSS)
BE110412_PROBE1	BE110412	High mobility group box 2-like 1 (DBSS)
BE110514_PROBE1	BE110514	ESTs
BE110525_PROBE1	BE110525	Ubiquinol-cytochrome C reductase complex 7.2 kDa protein (Cytochrome C1, nonheme 7 kDa protein) (DBSS)
BE110529_PROBE1	BE110529	ESTs
BE110530_PROBE1	BE110530	ESTs
BE110537_PROBE1	BE110537	LOC360524
BE110542_PROBE1	BE110542	RIKEN cDNA A930011F22 gene (DBSS)
BE110545_PROBE1	BE110545	oxysterol-binding protein - rabbit (DBSS)
BE110547_PROBE1	BE110547	MGC31683 (Mm.) (DBSS)
BE110557_PROBE1	BE110557	grey lethal osteopetrosis; grey-lethal; grey lethal osteroperosis (DBSS)
BE110561_PROBE1	BE110561	NG3 protein (Hs.) (DBSS)
BE110574_PROBE1	BE110574	KIAA1305 protein (DBSS)
BE110577_PROBE1	BE110577	calcium regulated heat stable protein 1
BE110607_PROBE1	BE110607	apoptosis related protein APR-3; p18 protein (DBSS)
BE110609_PROBE1	BE110609	cleavage and polyadenylation specificity factor 1 (DBSS)
BE110614_PROBE1	BE110614	ESTs
BE110618_PROBE1	BE110618	RIKEN cDNA 9630046K23 (DBSS)
BE110621_PROBE1	BE110621	dedicator of cyto-kinesis 2 (DBSS)
BE110624_PROBE1	BE110624	RIKEN cDNA 1810021J13 (DBSS)
BE110626_PROBE1	BE110626	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila) (Hs.) (DBSS_strong)
BE110630_PROBE1	BE110630	RIKEN cDNA 2810405J04 (DBSS)
BE110633_PROBE1	BE110633	0910001A06Rik protein (DBSS)
BE110638_PROBE1	BE110638	zinc finger like protein 1 (Mm.) (DBSS_strong)
BE110645_PROBE1	BE110645	polypeptide GalNAc transferase T1
BE110652_PROBE1	BE110652	TGF-beta induced apoptosis protein 12 (DBSS)
BE110656_PROBE1	BE110656	Presenilin-like protein 4 (SPPL3 protein) (DBSS)
BE110658_PROBE1	BE110658	ESTs
BE110671_PROBE1	BE110671	huntingtin interacting protein 1
BE110674_PROBE1	BE110674	6-pyruvoyl-tetrahydropterin synthase (Rn.) (DBSS)
BE110691_PROBE1	BE110691	putative eps protein
BE110695_PROBE1	BE110695	activating transcription factor 1
BE110722_PROBE1	BE110722	ESTs
BE110731_PROBE1	BE110731	hypothetical LOC287353
BE110739_PROBE1	BE110739	Solh protein (DBSS)
BE110949_PROBE1	BE110949	ESTs
BE111098_PROBE1	BE111098	testis-specific chromodomain Y-like protein (DBSS)
BE111118_PROBE1	BE111118	dual-specificity phosphatase SKRP1 (DBSS)
BE111296_PROBE1	BE111296	ESTs
BE111345_PROBE1	BE111345	simple repeat sequence-containing transcript (Mm.) (DBSS)
BE111361_PROBE1	BE111361	hypothetical protein MGC25461 (DBSS)
BE111512_PROBE1	BE111512	Sp1 transcription factor
BE111609_PROBE1	BE111609	stromal cell derived factor 4
BE111625_PROBE1	BE111625	secreted phosphoprotein 1
BE111634_PROBE1	BE111634	ESTs
BE111638_PROBE1	BE111638	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2; ppGaNTase-T2 (DBSS)
BE111640_PROBE1	BE111640	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein (Hs.) (DBSS)
BE111659_PROBE1	BE111659	CH-TOG protein (Colonic and hepatic tumor over-expressed protein) (DBSS)
BE111666_PROBE1	BE111666	RIKEN cDNA 1700025G04 gene (DBSS)
BE111673_PROBE1	BE111673	RIKEN cDNA 9630033F20 gene (Mm.) (DBSS_strong)
BE111677_PROBE1	BE111677	ESTs
BE111685_PROBE1	BE111685	KIAA1536 protein
BE111688_PROBE1	BE111688	cyclin B2 (DBSS)
BE111690_PROBE1	BE111690	ESTs
BE111691_PROBE1	BE111691	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
BE111694_PROBE1	BE111694	ESTs
BE111696_PROBE1	BE111696	RIKEN cDNA 2310005N03 (DBSS)
BE111699_PROBE1	BE111699	histidyl-tRNA synthetase-like (DBSS)
BE111703_PROBE1	BE111703	ESTs
BE111710_PROBE1	BE111710	putative neuronal cell adhesion molecule (DBSS)
BE111727_PROBE1	BE111727	hypothetical protein FLJ12089 (DBSS)
BE111729_PROBE1	BE111729	RIKEN cDNA 4930429A22 (DBSS)
BE111731_PROBE1	BE111731	hypothetical protein FLJ10199 (Hs.) (DBSS)
BE111733_PROBE1	BE111733	hormone-regulated proliferation-associated 20 kDa protein
BE111752_PROBE1	BE111752	collagen alpha 1(IV) chain precursor - mouse (DBSS)
BE111755_PROBE1	BE111755	arginine N-methyltransferase p82 isoform (DBSS)
BE111762_PROBE1	BE111762	G protein-coupled receptor 48
BE111765_PROBE1	BE111765	Ly1 antibody reactive clone (DBSS)
BE111769_PROBE1	BE111769	106 kDa O-GlcNAc transferase-interacting protein (DBSS)
BE111770_PROBE1	BE111770	divalent cation tolerant protein CUTA
BE111773_PROBE1	BE111773	TAR (HIV) RNA binding protein 2 (DBSS)
BE111776_PROBE1	BE111776	hypothetical protein FLJ39502 (DBSS)
BE111782_PROBE1	BE111782	Git2 protein (DBSS)
BE111787_PROBE1	BE111787	AMP deaminase 2 (AMP deaminase isoform L) (DBSS)
BE111795_PROBE1	BE111795	glutaredoxin 2 (thioltransferase)
BE111801_PROBE1	BE111801	KIAA1052 protein (DBSS)
BE111805_PROBE1	BE111805	Lyl-1 protein (Lymphoblastic leukemia derived sequence 1) (DBSS)
BE111811_PROBE1	BE111811	RIKEN cDNA 1700088E04; DNA segment, Human EST J0827E04; Mus EST J0827E04; DNA segment, EST J0827E04 (DBSS)
BE111820_PROBE1	BE111820	ESTs
BE111827_PROBE1	BE111827	Rho GTPase activating protein 4
BE111849_PROBE1	BE111849	Ac2-256 (DBSS)
BE111850_PROBE1	BE111850	mCAF1 protein (DBSS)
BE111869_PROBE1	BE111869	ESTs
BE111879_PROBE1	BE111879	Purkinje cell protein 2 (Mm.) (DBSS_strong)
BE111887_PROBE1	BE111887	Homo sapiens clone FBD3 Cri-du-chat critical region mRNA (Hs.) (DBSS)
BE111888_PROBE1	BE111888	HYPOTHETICAL PROTEIN KIAA0136 (DBSS)
BE111925_PROBE1	BE111925	IMP4 (DBSS)
BE111972_PROBE1	BE111972	family with sequence similarity 8, member A1 (Hs.) (DBSS)
BE111986_PROBE1	BE111986	HSPC263 (DBSS)
BE112007_PROBE1	BE112007	GLE1-like, RNA export mediator; GLE1 (yeast homolog)-like, RNA export mediator; hGLE1 (DBSS)
BE112202_PROBE1	BE112202	LOC215705 protein (DBSS)
BE112216_PROBE1	BE112216	extra spindle poles like 1 (DBSS)
BE112237_PROBE1	BE112237	dystonia 1, torsion (autosomal dominant; torsin A)
BE112252_PROBE1	BE112252	splicing factor, arginine/serine-rich 2, interacting protein; SC35-interacting protein 1 (DBSS)
BE112253_PROBE1	BE112253	hypothetical protein FLJ10547 (Hs.) (DBSS_moderate)
BE112384_PROBE1	BE112384	hypothetical protein FLJ36090 (DBSS)
BE112415_PROBE1	BE112415	hypothetical LOC293634
BE112551_PROBE1	BE112551	iroquois homeobox protein 4 (DBSS)
BE112575_PROBE1	BE112575	ubiquitin specific protease 14 (DBSS)
BE112582_PROBE1	BE112582	hypothetical protein FLJ20502 (DBSS)
BE112615_PROBE1	BE112615	mucin 2 precursor, intestinal (fragments) (Hs.) (DBSS)
BE112719_PROBE1	BE112719	Emu2-pending (Mm.) (DBSS)
BE112738_PROBE1	BE112738	1190005I06Rik protein (DBSS)
BE112781_PROBE1	BE112781	hypothetical LOC294030
BE112892_PROBE1	BE112892	MUM2 protein (DBSS)
BE112899_PROBE1	BE112899	ESTs
BE112913_PROBE1	BE112913	chromosome 9 open reading frame 12 (Hs.) (DBSS)
BE112921_PROBE1	BE112921	ESTs
BE112933_PROBE1	BE112933	DD6A4-1 mRNA, partial sequence
BE112948_PROBE1	BE112948	hypothetical protein FLJ23516; gene related to anergy in lymphocytes (DBSS)
BE112950_PROBE1	BE112950	putative lipid kinase (DBSS)
BE112952_PROBE1	BE112952	ESTs
BE112971_PROBE1	BE112971	phospholysine phosphohistidine inorganic pyrophosphate phosphata (5M590) (DBSS)
BE112983_PROBE1	BE112983	golgi associated, gamma adaptin ear containing, ARF binding protein 3 (DBSS)
BE112998_PROBE1	BE112998	XMP (DBSS)
BE112999_PROBE1	BE112999	HGFL protein (DBSS)
BE113005_PROBE1	BE113005	ESTs
BE113010_PROBE1	BE113010	beta 1,3-N-acetylglucosaminyltransferase 7 (DBSS)
BE113013_PROBE1	BE113013	Nucleolar protein Nop56 (Nucleolar protein 5A) (Rn.) (DBSS)
BE113015_PROBE1	BE113015	dipeptidylpeptidase 8 (Hs.) (DBSS_strong)
BE113020_PROBE1	BE113020	WD repeat-containing F-box protein FBW5 (DBSS)
BE113022_PROBE1	BE113022	histone deacetylase 1
BE113034_PROBE1	BE113034	HesB protein
BE113035_PROBE1	BE113035	Oligosaccharyl transferase 3 CG7748-PA (DBSS)
BE113043_PROBE1	BE113043	initiation factor eIF-2Be
BE113048_PROBE1	BE113048	reticulon 2 (Z-band associated protein)
BE113053_PROBE1	BE113053	sialytransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialytransferase) F (Mm.) (DBSS_strong)
BE113057_PROBE1	BE113057	TNF receptor-associated factor 3 (Hs.) (DBSS)
BE113060_PROBE1	BE113060	KIAA1138 protein (DBSS)
BE113076_PROBE1	BE113076	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
BE113079_PROBE1	BE113079	RNA-binding protein 8A (RNA binding motif protein 8A) (Ribonucleoprotein RBM8A) (RNA-binding protein Y14) (Binder of OVCA1-1) (BOV-1) (DBSS)
BE113101_PROBE1	BE113101	autophagin 1; AUT-like 1, cysteine endopeptidase (S. cerevisiae) (DBSS)
BE113103_PROBE1	BE113103	F-box protein FBX29 (DBSS)
BE113110_PROBE1	BE113110	adaptor protein complex AP-2, alpha 2 subunit
BE113111_PROBE1	BE113111	nuclear receptor binding protein; HLS7-interacting protein kinase (DBSS)
BE113119_PROBE1	BE113119	ras responsive element binding protein 1; RAS-responsive element binding protein-1 (DBSS)
BE113132_PROBE1	BE113132	guanine nucleotide exchange factor for Rap1; M-Ras-regulated GEF (Hs.) (DBSS)
BE113133_PROBE1	BE113133	protein phosphatase 1, regulatory (inhibitor) subunit 13B; apoptosis-stimulating protein of p53, 1 (DBSS)
BE113141_PROBE1	BE113141	hypothetical protein FLJ20533 (Hs.) (DBSS_weak)
BE113142_PROBE1	BE113142	3000004C01Rik protein (DBSS)
BE113146_PROBE1	BE113146	phenylalanine-tRNA synthetase-like, beta subunit
BE113152_PROBE1	BE113152	chondroitin sulfate proteoglycan 6 (Rn.) (DBSS_weak)
BE113155_PROBE1	BE113155	IQGAP3 (DBSS)
BE113157_PROBE1	BE113157	ESTs
BE113164_PROBE1	BE113164	nin one binding protein
BE113165_PROBE1	BE113165	NIMA (never in mitosis gene a)-related expressed kinase 6
BE113175_PROBE1	BE113175	ESTs
BE113179_PROBE1	BE113179	ESTs
BE113181_PROBE1	BE113181	Dynein 2 light intermediate chain (DBSS)
BE113190_PROBE1	BE113190	CGI-121 protein (DBSS)
BE113200_PROBE1	BE113200	Esophagus cancer-related gene-2 protein precursor (ECRG-2) (DBSS)
BE113201_PROBE1	BE113201	E2F transcription factor 6 (Mm.) (DBSS)
BE113205_PROBE1	BE113205	ESTs
BE113210_PROBE1	BE113210	ESTs
BE113217_PROBE1	BE113217	late endosomal/lysosomal MP1 interacting protein (DBSS)
BE113224_PROBE1	BE113224	TRAP-complex gamma subunit
BE113228_PROBE1	BE113228	RIKEN cDNA 3110057O12 gene (Mm.) (DBSS_moderate)
BE113233_PROBE1	BE113233	suppressor of cytokine signaling 2
BE113234_PROBE1	BE113234	leucyl-tRNA synthetase (DBSS)
BE113242_PROBE1	BE113242	ESTs
BE113247_PROBE1	BE113247	ESTs
BE113248_PROBE1	BE113248	hypothetical protein FLJ30656 (DBSS)
BE113252_PROBE1	BE113252	agouti signal protein (Mm.) (DBSS)
BE113264_PROBE1	BE113264	oxysterol-binding protein-like protein 9 isoform f; oxysterol-binding protein-related protein 9; OSBP-related protein 9 (DBSS)
BE113268_PROBE1	BE113268	plakophilin 2 (Hs.) (DBSS_strong)
BE113269_PROBE1	BE113269	Pmcf-pending protein (DBSS)
BE113272_PROBE1	BE113272	hypothetical protein FLJ12547 (Hs.) (DBSS)
BE113277_PROBE1	BE113277	Ser/Arg-related nuclear matrix protein; plenty-of-prolines-101; serine/arginine repetitive matrix protein 1 (DBSS)
BE113281_PROBE1	BE113281	ribosomal protein L30 (Hs.) (DBSS)
BE113285_PROBE1	BE113285	ESTs
BE113288_PROBE1	BE113288	RIKEN cDNA 2810405F18 gene with tRNA and rRNA cytosine-C5-methylases domain (Mm.) (DBSS)
BE113295_PROBE1	BE113295	RIKEN cDNA 4930405M20 gene (Mm.) (DBSS_moderate)
BE113300_PROBE1	BE113300	ESTs
BE113312_PROBE1	BE113312	Adapter-related protein complex 3 beta 1 subunit (Beta-adaptin 3A) (AP-3 complex beta-3A subunit) (Beta-3A-adaptin) (DBSS)
BE113315_PROBE1	BE113315	Homo sapiens clone TCCCIA00427 mRNA sequence (Hs.) (DBSS)
BE113316_PROBE1	BE113316	2310047B19Rik protein (DBSS)
BE113321_PROBE1	BE113321	ADP-ribosylation factor binding protein GGA1 (Hs.) (DBSS_strong)
BE113323_PROBE1	BE113323	membrane targeting translocation system protein like (2A562) (DBSS)
BE113330_PROBE1	BE113330	ESTs
BE113338_PROBE1	BE113338	gamma-aminobutyric acid (GABA) B receptor, 1
BE113340_PROBE1	BE113340	Syntaxin 18 (DBSS)
BE113354_PROBE1	BE113354	fukutin-related protein (DBSS)
BE113362_PROBE1	BE113362	cyclin-dependent kinase inhibitor 3; CDK2-associated dual specificity phosphatase (DBSS)
BE113365_PROBE1	BE113365	CGI-115 protein (Hs.) (DBSS_moderate)
BE113367_PROBE1	BE113367	ESTs
BE113369_PROBE1	BE113369	ESTs
BE113371_PROBE1	BE113371	Homo sapiens clone 23728 mRNA sequence (Hs.) (DBSS)
BE113372_PROBE1	BE113372	START domain containing 7; GTT1-like (DBSS)
BE113375_PROBE1	BE113375	Ppp2r5c protein (DBSS)
BE113380_PROBE1	BE113380	polymerase (RNA) III (DNA directed) (155kD) (DBSS)
BE113384_PROBE1	BE113384	ESTs
BE113397_PROBE1	BE113397	ESTs
BE113399_PROBE1	BE113399	Selenide,water dikinase 1 (Hs.) (DBSS_strong)
BE113423_PROBE1	BE113423	phosphatidylinositol 4-kinase type II
BE113449_PROBE1	BE113449	ESTs
BE113454_PROBE1	BE113454	1300019H17Rik protein (DBSS)
BE113490_PROBE1	BE113490	xenotropic and polytropic retrovirus receptor 1 (Mm.) (DBSS_strong)
BE113545_PROBE1	BE113545	ESTs
BE113599_PROBE1	BE113599	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
BE113616_PROBE1	BE113616	RIKEN cDNA 0610040J01 gene (Mm.) (DBSS_moderate)
BE113620_PROBE1	BE113620	cardiac leiomodin (DBSS)
BE113624_PROBE1	BE113624	RIKEN cDNA E130201N16 (DBSS)
BE113635_PROBE1	BE113635	mitochondria-associated granulocyte macrophage CSF signaling molecule; mitochondria associated granulocyte macrophage CSF signaling molecule (DBSS)
BE113655_PROBE1	BE113655	Doc2gamma (DBSS)
BE113656_PROBE1	BE113656	T-box 3 (ulnar mammary syndrome)
BE113660_PROBE1	BE113660	KIAA1078 protein (DBSS)
BE113966_PROBE1	BE113966	glia maturation factor, gamma
BE113989_PROBE1	BE113989	RIKEN cDNA 1110021N07 (DBSS)
BE114123_PROBE1	BE114123	hypothetical protein DKFZp434L0117 (DBSS)
BE114135_PROBE1	BE114135	exportin 7 (Mm.) (DBSS_strong)
BE114137_PROBE1	BE114137	ESTs
BE114153_PROBE1	BE114153	hypothetical protein BC011981 (DBSS)
BE114154_PROBE1	BE114154	mbt domain containing 1 (DBSS)
BE114159_PROBE1	BE114159	ESTs
BE114160_PROBE1	BE114160	hypothetical protein FLJ11526 (DBSS)
BE114165_PROBE1	BE114165	2610027C15Rik protein (DBSS)
BE114418_PROBE1	BE114418	5-hydroxytryptamine (serotonin) receptor 1A (Mm.) (DBSS)
BE114436_PROBE1	BE114436	ESTs
BE114586_PROBE1	BE114586	ultraviolet B radiation-activated UV96
BE115034_PROBE1	BE115034	ESTs
BE115041_PROBE1	BE115041	ESTs
BE115051_PROBE1	BE115051	ESTs
BE115055_PROBE1	BE115055	glucocerebrosidase precursor (Gba) and metaxin genes (Mm.) (DBSS)
BE115056_PROBE1	BE115056	InaD-like protein isoform 3; PALS1-associated tight junction protein (DBSS)
BE115058_PROBE1	BE115058	procollagen, type VI, alpha 2 (DBSS)
BE115280_PROBE1	BE115280	BC034507 protein (DBSS)
BE115417_PROBE1	BE115417	metastasis-associated 1-like 1 protein; metastasis associated gene 1-like 1; metastasis-associated protein 2 (DBSS)
BE115551_PROBE1	BE115551	ESTs
BE115557_PROBE1	BE115557	ESTs
BE115558_PROBE1	BE115558	KIAA0252 protein (DBSS)
BE115570_PROBE1	BE115570	RIKEN cDNA 2410022L05 (DBSS)
BE115600_PROBE1	BE115600	RanBp21 (DBSS)
BE115604_PROBE1	BE115604	Hypothetical protein MGC28888 (DBSS)
BE115621_PROBE1	BE115621	ESTs
BE115626_PROBE1	BE115626	hHDC for homolog of Drosophila headcase (Hs.) (DBSS)
BE115635_PROBE1	BE115635	ESTs
BE115648_PROBE1	BE115648	PD2 protein (DBSS)
BE115842_PROBE1	BE115842	60S RIBOSOMAL PROTEIN L37A (Rn.) (DBSS_weak)
BE115860_PROBE1	BE115860	KIAA0517 protein (DBSS)
BE115875_PROBE1	BE115875	armadillo repeat protein ALEX2 (DBSS)
BE115880_PROBE1	BE115880	ESTs
BE115943_PROBE1	BE115943	ESTs
BE115947_PROBE1	BE115947	KIAA1952 protein (DBSS)
BE115948_PROBE1	BE115948	RIKEN cDNA 2810403A07 (DBSS)
BE116101_PROBE1	BE116101	Transcription factor AP-2 beta (AP2-beta) (Activating enhancer-binding protein 2 beta) (DBSS)
BE116152_PROBE1	BE116152	fatty acid elongase 2
BE116153_PROBE1	BE116153	HBV pX associated protein 8 large isoform (DBSS)
BE116180_PROBE1	BE116180	FLJ00353 protein (DBSS)
BE116220_PROBE1	BE116220	isoprenylcysteine carboxyl methyltransferase (Hs.) (DBSS)
BE116226_PROBE1	BE116226	ESTs
BE116233_PROBE1	BE116233	ESTs
BE116370_PROBE1	BE116370	RNA binding motif protein 15 (Hs.) (DBSS_strong)
BE116383_PROBE1	BE116383	Hypothetical protein KIAA0152 (DBSS)
BE116507_PROBE1	BE116507	topoisomerase (DNA) I
BE116512_PROBE1	BE116512	ESTs
BE116550_PROBE1	BE116550	coagulation factor VIII
BE116554_PROBE1	BE116554	adipocyte-specific protein 4 (DBSS)
BE116560_PROBE1	BE116560	hypothetical RNA binding protein RDA288
